Ligne,2,Direction,Chapelle saint luc
ZI CHAPELLE ST LUC,|,06:23,|,06:52,|,07:09,07:28,07:45,08:04,08:20,08:39,08:56,09:11,09:30,09:45,10:04,10:19,10:34,10:51,11:09,11:25,11:42,11:58,12:13,12:29,12:43,13:02,13:18,13:36,13:53,14:11,14:27,14:44,15:01,15:17,15:34,15:53,16:09,16:26,16:45,17:01,17:18,17:37,17:53,18:11,18:27,18:46,18:59,19:12,19:27,|,|,|,|,|,|,|,|,|,|
DESCARTES,|,06:23,|,|,|,07:09,|,07:45,|,08:20,|,|,09:11,|,09:45,10:04,|,10:34,10:51,|,11:25,11:42,|,12:13,|,12:44,|,13:18,|,13:53,|,14:27,14:44,|,15:17,15:34,|,16:10,16:27,|,17:02,17:19,|,17:53,|,18:27,|,18:59,19:12,|,|,|,|,|,|,|,|,|,|,|
COLBERT,|,06:24,|,|,|,07:10,|,07:46,|,08:21,|,|,09:12,|,09:46,10:05,|,10:35,10:52,|,11:26,11:43,|,12:14,|,12:44,|,13:19,|,13:54,|,14:28,14:45,|,15:18,15:35,|,16:10,16:27,|,17:02,17:19,|,17:54,|,18:28,|,19:00,19:13,|,|,|,|,|,|,|,|,|,|,|
ROND POINT,|,06:25,|,|,|,07:11,|,07:47,|,08:22,|,|,09:13,|,09:47,10:06,|,10:36,10:53,|,11:27,11:44,|,12:15,|,12:45,|,13:20,|,13:55,|,14:29,14:46,|,15:19,15:36,|,16:11,16:28,|,17:03,17:20,|,17:55,|,18:29,|,19:01,19:14,|,|,|,|,|,|,|,|,|,|,|
DE DION,|,06:25,|,|,|,07:11,|,07:47,|,08:22,|,|,09:13,|,09:47,10:06,|,10:36,10:53,|,11:27,11:44,|,12:15,|,12:46,|,13:20,|,13:55,|,14:29,14:46,|,15:19,15:36,|,16:12,16:29,|,17:04,17:21,|,17:55,|,18:29,|,19:01,19:14,|,|,|,|,|,|,|,|,|,|,|
FRERES MICHELIN,|,06:26,|,|,|,07:12,|,07:48,|,08:23,|,|,09:14,|,09:48,10:07,|,10:37,10:54,|,11:28,11:45,|,12:16,|,12:46,|,13:21,|,13:56,|,14:30,14:47,|,15:20,15:37,|,16:12,16:29,|,17:04,17:21,|,17:56,|,18:30,|,19:02,19:15,|,|,|,|,|,|,|,|,|,|,|
PRES DE LYON,|,06:26,|,|,|,07:12,|,07:48,|,08:23,|,|,09:14,|,09:48,10:07,|,10:37,10:54,|,11:28,11:45,|,12:16,|,12:47,|,13:21,|,13:56,|,14:30,14:47,|,15:20,15:37,|,16:13,16:30,|,17:05,17:22,|,17:56,|,18:30,|,19:02,19:15,|,19:46,|,|,|,|,|,|,|,|,|
HAMEAUX ST LUC,|,06:27,|,|,|,07:13,|,07:49,|,08:24,|,|,09:15,|,09:49,10:08,|,10:38,10:55,|,11:29,11:46,|,12:17,|,12:48,|,13:22,|,13:57,|,14:31,14:48,|,15:21,15:38,|,16:14,16:31,|,17:06,17:23,|,17:57,|,18:31,|,19:03,19:16,|,19:47,|,|,|,|,|,|,|,|,|
AQUALUC,|,06:27,|,|,|,07:13,|,07:49,|,08:24,|,|,09:15,|,09:49,10:08,|,10:38,10:55,|,11:29,11:46,|,12:17,|,12:48,|,13:22,|,13:57,|,14:31,14:48,|,15:21,15:38,|,16:14,16:31,|,17:06,17:23,|,17:57,|,18:31,|,19:03,19:16,|,|,|,|,|,|,|,|,|,|,|
COTY,|,|,|,06:52,|,|,07:28,|,08:04,|,08:39,08:56,|,09:30,|,|,10:19,|,|,11:09,|,|,11:58,|,12:29,|,13:02,|,13:36,|,14:11,|,|,15:01,|,|,15:53,|,|,16:45,|,|,17:37,|,18:11,|,18:46,|,|,19:27,|,|,|,|,|,|,|,|,|,|
ZI VIGNETTES,|,|,|,06:53,|,|,07:29,|,08:05,|,08:40,08:57,|,09:31,|,|,10:20,|,|,11:10,|,|,11:59,|,12:30,|,13:03,|,13:37,|,14:12,|,|,15:02,|,|,15:54,|,|,16:46,|,|,17:38,|,18:12,|,18:47,|,|,19:28,|,|,|,|,|,|,|,|,|,|
ARCHIMEDE,|,|,|,06:54,|,|,07:30,|,08:06,|,08:41,08:58,|,09:32,|,|,10:21,|,|,11:11,|,|,12:00,|,12:31,|,13:04,|,13:38,|,14:13,|,|,15:03,|,|,15:55,|,|,16:48,|,|,17:39,|,18:13,|,18:48,|,|,19:29,|,|,|,|,|,|,|,|,|,|
BIZET,|,|,|,06:55,|,|,07:31,|,08:07,|,08:42,08:59,|,09:33,|,|,10:22,|,|,11:12,|,|,12:01,|,12:32,|,13:05,|,13:39,|,14:14,|,|,15:04,|,|,15:56,|,|,16:49,|,|,17:40,|,18:14,|,18:49,|,|,19:30,19:48,|,|,|,|,|,|,|,|,|
